population,collection date,sex,SL (mm),bodymass ,pelvic fins
bore,Jun-08,F,40.8,2.15,2
bore,Jun-08,M,28.75,0.76,2
bore,Jun-08,M,46.78,3.14,2
bore,Jun-08,F,34.5,1,2
bore,Jun-08,F,41,2.28,2
bore,Jun-08,M,37.05,1.41,2
bore,Jun-08,M,38.5,1.79,2
bore,Jun-08,M,32,1.26,2
bore,Jun-08,M,26.9,0.51,2
bore,Jun-08,F,31.1,0.86,2
bore,Jun-08,F,33.6,1.17,2
bore,Jun-08,M,39.85,1.89,2
bore,Jun-08,F,21.5,0.29,2
bore,Jun-08,F,36,1.45,2
bore,Jun-08,M,41.25,2.44,2
bore,Jun-08,M,30.8,1.02,2
bore,Jun-08,F,30.6,1,2
bore,Jun-08,F,27.35,0.75,2
bore,Jun-08,F,39.15,2.4,2
bore,Jun-08,F,34.4,1.46,2
bore,Jun-08,F,29.5,0.72,2
bore,Jun-08,M,38.8,2.15,2
bore,Jun-08,M,29.3,1.43,2
bore,Jun-08,M,33.7,1.54,2
bore,Jun-08,M,48.5,3.73,2
bore,Jun-08,M,26.4,0.56,2
bore,Jun-08,M,33.3,1.31,2
bore,Jun-08,F,25.9,0.4,2
bore,Jun-08,M,40.55,2.02,2
bore,Jun-08,F,31.6,1.02,2
bore,Jun-08,F,44.7,3.24,2
bore,Jun-08,F,28.6,0.7,2
bore,Jun-08,F,41.4,2.6,2
bore,Jun-08,F,28.8,0.65,2
bore,Jun-08,F,29.25,0.87,2
bore,Jun-08,M,45.45,3.11,2
bore,Jun-08,M,42.95,2.74,2
bore,Jun-08,M,42.95,2.74,2
bore,Jun-08,M,36.9,1.74,2
bore,Jun-08,F,33.4,1.19,2
bore,Jun-08,F,34,1.05,2
bore,Jun-08,M,38.1,2.54,2
bore,Jun-08,F,38.65,1.69,2
bore,Jun-08,F,33.65,1.08,2
bore,Jun-08,M,39.1,2.04,2
bore,Jun-08,F,33.65,1.11,2
bore,Jun-08,F,32.2,1.06,2
bore,Jun-08,M,43.8,2.55,2
bore,Jun-08,M,29.9,1,2
bore,Jun-08,M,25.2,0.42,2
bore,Jun-08,M,42.05,2.43,2
bore,Jun-08,M,40.3,2.42,2
bore,Jun-08,M,44.7,3.07,2
bore,Jun-08,M,37.35,1.79,2
bore,Jun-08,M,27.8,0.75,2
bore,Jun-08,M,30,0.79,2
bore,Jun-08,F,36.4,1.62,2
bore,Jun-08,M,42,2.66,2
bore,Jun-08,F,31.5,0.84,2
bore,Jun-08,F,44,3.18,2
bore,Jun-08,M,31.3,0.99,2
bore,Jun-08,F,36.25,1.71,2
bore,Jun-08,F,26,0.51,2
bore,Jun-08,F,30.5,0.99,2
bore,Jun-08,M,33.65,1.29,2
bore,Jun-08,F,23.4,0.3,2
bore,Jun-08,M,43.4,3.14,2
bore,Jun-08,F,32.2,1.18,2
bore,Jun-08,M,24,0.41,2
bore,Jun-08,F,38.05,1.58,2
bore,Jun-08,F,34.45,1.21,2
bore,Jun-08,M,43.8,2.81,2
bore,Jun-08,F,29.1,0.69,2
bore,Jun-08,M,37.95,1.97,2
bore,Jun-08,M,40.5,2.13,2
bore,Jun-08,M,30.6,0.96,2
bore,Jun-08,M,39.15,2.21,2
bore,Jun-08,F,33.05,1.15,2
bore,Jun-08,F,31.65,0.93,2
bore,Jun-08,M,31.35,1.1,2
bore,Jun-08,M,29.85,0.82,2
bore,Jun-08,F,31.9,1.05,2
bore,Jun-08,M,28.2,0.65,2
river,Jun-08,F,35.55,1.37,2
river,Jun-08,M,39.6,1.87,2
river,Jun-08,F,32.65,1.07,2
river,Jun-08,M,40.4,1.97,2
river,Jun-08,M,29.15,0.65,2
river,Jun-08,M,38.7,1.88,2
river,Jun-08,F,28.9,0.72,2
river,Jun-08,M,33.85,1.18,2
river,Jun-08,M,38.3,1.85,2
river,Jun-08,F,36.2,1.27,2
river,Jun-08,F,44,2.12,2
river,Jun-08,M,37.25,1.78,2
river,Jun-08,F,37.2,1.29,2
river,Jun-08,M,36.65,1.42,2
river,Jun-08,M,29.5,0.76,2
river,Jun-08,F,34.95,1.17,2
river,Jun-08,F,32.6,1.02,2
river,Jun-08,M,31.8,0.94,2
river,Jun-08,F,28.1,0.61,2
river,Jun-08,M,45.75,2.85,2
river,Jun-08,M,42.7,2.58,2
river,Jun-08,M,38.65,1.75,2
river,Jun-08,F,39,1.65,2
river,Jun-08,M,38.2,1.58,2
river,Jun-08,F,34,1.1,2
river,Jun-08,F,41.3,1.96,2
river,Jun-08,M,35.7,1.48,2
river,Jun-08,M,31.1,0.91,2
river,Jun-08,F,34.4,1.19,2
river,Jun-08,F,33.1,1.04,2
river,Jun-08,M,36.25,1.25,2
river,Jun-08,F,36.6,1.36,2
river,Jun-08,F,36.2,1.27,2
river,Jun-08,M,44.7,2.78,2
river,Jun-08,F,32,0.88,2
river,Jun-08,F,38.8,1.59,2
river,Jun-08,M,40.05,1.81,2
river,Jun-08,M,35.15,1.47,2
river,Jun-08,F,35.2,1.14,2
river,Jun-08,F,34.95,1.17,2